Title,Company,City,Description,URL
"Marrakech : prise de rendez-vous, contrôle de charpente et travaux! ''francophone''  ..",Kingcall Marrakech,15-04-2025 | KINGCALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/kingcall-marrakech-marrakech-prise-de-rendez-vous-controle-de-charpente-et-travaux-francophone-143377
Recrutement d'agent expert en qualification de fiche pour les panneaux photovoltaiques,Skm Shore,15-04-2025 | Skm Shore - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/skm-shore-recrutement-d-agent-expert-en-qualification-de-fiche-pour-les-panneaux-photovoltaiques-137781
Teleoperadores con o sin experiencia – 5000 mad,Imperialcom,03-04-2025 | Imperialcom - Tanger,N/A,https://www.moncallcenter.ma/offre-emploi/imperialcom-teleoperadores-con-o-sin-experiencia-5000-mad-142644
Commercial(e) expérimenté(e) en vente haut de gamme par téléphone,Center X,15-04-2025 | Center X  - Rabat,N/A,https://www.moncallcenter.ma/offre-emploi/center-x-commercial-e-experimente-e-en-vente-haut-de-gamme-par-telephone-136891
Recrutement de conseiller d'assurance,Premium Assurances,26-03-2025 | Premium Assurances - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/premium-assurances-recrutement-de-conseiller-d-assurance-140285
Nous recrutons pour la prise des rendez-vous (expérimenté ou nouveaux),MDK CALL,18-03-2025 | MDK CALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/mdk-call-nous-recrutons-pour-la-prise-des-rendez-vous-experimente-ou-nouveaux-141719
Journée porte ouverte: débutants ou expérimentés du 28/03 au 03/04,CMS,04-04-2025 | CMS FACTORY - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/cms-journee-porte-ouverte-debutants-ou-experimentes-du-28-03-au-03-04-142233
Asesor de clientes en back office español-inglés,Marketing Call Center,30-03-2025 | Marketing Call Center - Rabat,N/A,https://www.moncallcenter.ma/offre-emploi/marketing-call-center-asesor-de-clientes-en-back-office-espanol-ingles-137945
Commerciaux débutants ou expérimentés avec ou sans carte séjour,GSE Call,07-04-2025 | GSE CALL - ANFA  - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/gse-call-commerciaux-debutants-ou-experimentes-avec-ou-sans-carte-sejour-141155
Nous recrutons des commerciaux expérimentés en télévente week end off!!!!,A2S Invest,09-04-2025 | A2S Invest - Rabat,N/A,https://www.moncallcenter.ma/offre-emploi/a2s-invest-nous-recrutons-des-commerciaux-experimentes-en-televente-week-end-off-141337
Marketing manager - profil passionné(e),PLF,11-04-2025 | PLF - Tanger,N/A,https://www.moncallcenter.ma/offre-emploi/plf-marketing-manager-profil-passionne-e-142520
Téléconseiller b2b - prise de rdv,Booster Call,09-04-2025 | El Jadida - El jadida,N/A,https://www.moncallcenter.ma/offre-emploi/booster-call-teleconseiller-b2b-prise-de-rdv-142988
Marrakech !! recrutement massif !! primes déplafonnées - week-end off,Best Meeting,11-04-2025 | Best Meeting - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/best-meeting-marrakech-recrutement-massif-primes-deplafonnees-week-end-off-143192
Avis aux jeunes diplômés. intégrez unifitel et bénéficiez d'un tremplin vers les métiers financiers,Unifitel,18-03-2025 | Unifitel - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/unifitel-avis-aux-jeunes-diplomes-integrez-unifitel-et-beneficiez-d-un-tremplin-vers-les-metiers-financiers-124050
Commerciaux en télévente (débutants acceptés) / wekeend off.,Great Call,01-04-2025 | Great Call - Fes,N/A,https://www.moncallcenter.ma/offre-emploi/great-call-commerciaux-en-televente-debutants-acceptes-wekeend-off-142450
Opportunité unique en réception d'appel : rejoignez notre équipe francophone !,Foundever,15-04-2025 | Foundever - Arribat Center - Rabat,N/A,https://www.moncallcenter.ma/offre-emploi/foundever-opportunite-unique-en-reception-d-appel-rejoignez-notre-equipe-francophone-139846
Conseiller commercial en métier de la vente,Unifitel,15-04-2025 | Unifitel - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/unifitel-conseiller-commercial-en-metier-de-la-vente-141720
Télévente btob : package jusqu'à 20 000 mad+ et primes déplafonnées !,My BPO,13-04-2025 | My BPO Arribat Center - Rabat,N/A,https://www.moncallcenter.ma/offre-emploi/my-bpo-televente-btob-package-jusqu-a-20-000-mad-et-primes-deplafonnees-141202
Téléconseiller b2b expérimentés - prise de rdv,Booster Call,29-03-2025 | El Jadida - El jadida,N/A,https://www.moncallcenter.ma/offre-emploi/booster-call-teleconseiller-b2b-experimentes-prise-de-rdv-142381
Cdi+5000net+primes déplafonnées// chargés de clientèle avec ou sans expérience,Right Place Call Morocco,13-04-2025 | Right Place Call Morocco - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/right-place-call-morocco-cdi-5000net-primes-deplafonnees-charges-de-clientele-avec-ou-sans-experience-130643
Conseillers / conseillère en émission d'appel,Best Meeting,10-04-2025 | Best Meeting - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/best-meeting-conseillers-conseillere-en-emission-d-appel-143099
Faites décoller votre carrière dans le meilleur centre d'appel à marrakech !  .. 7500dh +des primes,Kingcall Marrakech,14-04-2025 | KINGCALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/kingcall-marrakech-faites-decoller-votre-carriere-dans-le-meilleur-centre-d-appel-a-marrakech-7500dh-des-primes-143284
Téléconseiller en prise de rendez-vous - énergie renouvelable,BKZ Conseil INT,15-04-2025 | BKZ CONSEIL INT - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/bkz-conseil-int-teleconseiller-en-prise-de-rendez-vous-energie-renouvelable-142964
Opération qualification des fiches en français débutant,Imperialcom,15-04-2025 | Imperialcom - Tanger,N/A,https://www.moncallcenter.ma/offre-emploi/imperialcom-operation-qualification-des-fiches-en-francais-debutant-143409
"Grande porte ouverte  ""salaire 4000.00 dh + primes """,Mahitel Call,04-04-2025 | Mahitel Call - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/mahitel-call-grande-porte-ouverte-quot-salaire-4000-00-dh-primes-quot-140930
Télévendeurs / marché belge /weekend off / formation rémunérée / 6500 dhs net + avantages attractifs,Talk Lab,11-04-2025 | Talk Lab - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/talk-lab-televendeurs-marche-belge-weekend-off-formation-remuneree-6500-dhs-net-avantages-attractifs-137524
Marrakech : recrutement massif débutant ou expérimenté : 7500dh+primes,France Rénovation,18-03-2025 | France Rénovation - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/france-renovation-marrakech-recrutement-massif-debutant-ou-experimente-7500dh-primes-141589
Marrakech primes  jusqua 10000 dhs experience obligatoire prise de rdv pannaux solaires,Midnour Call,05-04-2025 | Maroc,N/A,https://www.moncallcenter.ma/offre-emploi/midnour-call-marrakech-primes-jusqua-10000-dhs-experience-obligatoire-prise-de-rdv-pannaux-solaires-135263
Televendeurs assurance animalier / chien et chat /,Succursale Artex Assurances,14-04-2025 | Artex Assurances - Mohammedia,N/A,https://www.moncallcenter.ma/offre-emploi/succursale-artex-assurances-televendeurs-assurance-animalier-chien-et-chat-142180
Journée porte ouverte le mois d'avril  !!!! envoyez vos cv !!!,Green Neo Call,15-04-2025 | Green Neo Call - Casablanca,N/A,https://www.moncallcenter.ma/offre-emploi/green-neo-call-journee-porte-ouverte-le-mois-d-avril-envoyez-vos-cv-142323
Marrakech  postulez vite !!!! on recrute des teléconseillers (e) en prise de rdv !!!,France Rénovation,31-03-2025 | France Rénovation - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/france-renovation-marrakech-postulez-vite-on-recrute-des-teleconseillers-e-en-prise-de-rdv-142131
Urgents : chargés de clientèle ( 30 profils) pour un centre de relation client marocain,Access Teleservices,15-04-2025 | Centre de Relation Client - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/access-teleservices-urgents-charges-de-clientele-30-profils-pour-un-centre-de-relation-client-marocain-142725
Marrakech : recrutement immédiat - prise de rendez-vous!!!!!   7500dh+primes,Kingcall Marrakech,15-04-2025 | KINGCALL - Marrakech,N/A,https://www.moncallcenter.ma/offre-emploi/kingcall-marrakech-marrakech-recrutement-immediat-prise-de-rendez-vous-7500dh-primes-143347
Téléconseillers(ères) pour mission de recouvrement.,Great Call,23-03-2025 | Great Call - Fes,N/A,https://www.moncallcenter.ma/offre-emploi/great-call-teleconseillers-eres-pour-mission-de-recouvrement-141981
